strain	stress
-2.00002000027e-05	-0.0065098698
-2.00002000027e-05	0.072148557
-2.00002000027e-05	0.0963180736
-2.00002000027e-05	0.105097898
-3.0000450009e-05	0.1453556392
-3.0000450009e-05	0.2018739436
-3.0000450009e-05	0.2839514812
-2.00002000027e-05	1.6567768638
-3.0000450009e-05	2.2641620731
0.000149988751125	22.3830469535
0.000359935215548	44.5940680872
0.000559843258514	65.7497692632
0.000749718890546	86.630143915
0.0009595394947	107.110197171
0.00115932771985	126.659965324
0.0013490895693	145.357147593
0.00153881541602	163.206812024
0.00173848795372	179.919646406
0.00193812063026	195.445189514
0.00214769205746	210.269649861
0.00235721957368	223.911356641
0.00257667751345	236.6192166
0.00280605933046	248.167245898
0.00304535818596	258.932121579
0.0033045340083	268.481752793
0.00357360705329	276.855838263
0.00384260771745	284.27920738
0.00414141250055	290.795473689
0.00445008367361	296.408029963
0.0047686120751	301.371844309
0.00509698825784	305.79640524
0.00543520248994	309.750067386
0.00578324475573	313.37469208
0.00613116593024	316.608953317
0.00648890146812	319.906954273
0.00684650907706	322.771802396
0.0072039888485	325.553959633
0.00757126549632	328.086530288
0.00793840730152	330.655133981
0.00830541436309	333.048440209
0.00868220038283	335.326570416
0.00904893461861	337.48477205
0.00941553440969	339.56191253
0.00979190246247	341.573361095
0.0101681289156	343.509794021
0.0105343187149	345.357258068
0.0109102660076	347.185174144
0.011286072017	349.003929607
0.0116617368493	350.695575325
0.0120372606105	352.274166549
0.0124126434066	353.918714472
0.0127878853433	355.384704287
0.0131728557102	356.944768201
0.0135478125453	358.344790174
0.0139226288404	359.75655065
0.0142973047008	361.030032
0.0146718402319	362.401267792
0.0150462355386	363.717473638
0.0154303376554	364.910807781
0.0158044491449	366.206242316
0.0161784207275	367.325756674
0.016562088299	368.493032676
0.0169357767062	369.639337194
0.0173093255226	370.881283677
0.0176827348523	371.971938497
0.0180658258116	373.027817192
0.0184389528166	374.09841634
0.0188217542406	375.06147542
0.0191945993474	376.142229068
0.0195771116734	377.102808235
0.0199496753076	378.093277377
0.0203221001899	379.012064964
0.0206943864235	380.007142585
0.0210665341117	380.862663438
0.0214483312059	381.808129982
0.0218201984731	382.601987758
0.0221919275065	383.560748822
0.0225732952523	384.38823874
0.0229545176122	385.267245407
0.0233258253035	386.113926828
0.0236969951766	386.873938761
0.0240680273337	387.574923803
0.024438921877	388.419519575
0.0248194338165	389.150275886
0.0251900498236	389.935810105
0.0255605285253	390.688355043
0.0259406140004	391.415197279
0.0263205550653	392.207241396
0.026690615253	392.961716223
0.0270605385469	393.790298384
0.0274497837081	394.482140717
0.0278097006393	395.222405242
0.0281889323593	395.923649064
0.0285680203171	396.553148606
0.0289469646216	397.320329493
0.0293160543341	397.995048908
0.029694715335	398.63997171
0.0300635292144	399.358291542
0.0304419073351	399.958688842
0.0308201423399	400.681511353
0.031188541456	401.23508439
0.0315664942164	401.982482084
0.0319346185303	402.597930588
0.0323122894672	403.193086873
0.0326898178227	403.717501879
0.033057528922	404.364170266
0.0334347760862	404.90585916
0.0338022134085	405.575732946
0.0341791798001	406.02561883
0.0345560041416	406.703774313
0.0349230297892	407.271047436
0.0352995739869	407.775373868
0.0356663268768	408.374163388
0.0360425913469	408.923951324
0.0364090718842	409.596083833
0.0367754181626	410.062051144
0.0371512656308	410.595223714
0.0375173401599	411.116934554
0.0378832807276	411.642625083
0.0382490874317	412.17352538
0.0386147603702	412.831215969
0.0389802996409	413.198074457
0.0393553194781	413.871061113
0.0397205881949	414.266077524
0.0400857235393	414.792997913
0.0404507256085	415.24926057
0.0408059943923	415.780347408
0.0411707337037	416.265861657
0.0415353400288	416.81852126
0.0418998134647	417.188275775
0.042264154108	417.770515852
0.0426283620556	418.151518114
0.0429924374041	418.580603409
0.0433563802499	419.018620664
0.0437106184261	419.362570318
0.0440743000365	419.953797345
0.0444282840343	420.28503357
0.0447821427719	420.726187098
0.0451358763377	421.187152756
0.0454894848204	421.689541464
0.0458429683083	422.074957566
0.0461963268897	422.561917419
0.046549560653	422.93944795
